transaction_id,transaction_time,amount,user_id,device_type,merchant_category,ip_country,entry_mode
8001,2024-02-13 06:03:00,87,6268,mobile,Digital Goods,UK,Manual_Keyed
8002,2024-02-13 06:03:00,53,6268,mobile,Digital Goods,CA,Manual_Keyed
8003,2024-02-13 06:04:00,65,6268,mobile,Digital Goods,AU,Manual_Keyed
8004,2024-02-13 06:05:00,76,6268,mobile,Digital Goods,AU,Manual_Keyed
8005,2024-02-13 06:11:00,274,3076,mobile,Fashion,US,Chip
8006,2024-02-13 06:19:00,32,6784,web,Electronics,US,Contactless
8007,2024-02-13 06:33:00,140,6954,mobile,Grocery,CA,Contactless
8008,2024-02-13 06:36:00,101,7313,mobile,Fashion,DE,Contactless
8009,2024-02-13 06:43:00,229,2147,mobile,Electronics,US,Contactless
8010,2024-02-13 06:44:00,79,5168,mobile,Digital Goods,UK,Manual_Keyed
8011,2024-02-13 06:44:00,63,5168,mobile,Digital Goods,DE,Manual_Keyed
8012,2024-02-13 06:45:00,87,5168,mobile,Digital Goods,CA,Manual_Keyed
8013,2024-02-13 06:46:00,88,5168,mobile,Digital Goods,AU,Manual_Keyed
8014,2024-02-13 06:46:00,67,1361,mobile,Digital Goods,AU,Manual_Keyed
8015,2024-02-13 06:47:00,84,1361,mobile,Digital Goods,DE,Manual_Keyed
8016,2024-02-13 06:47:00,73,1361,mobile,Digital Goods,DE,Manual_Keyed
8017,2024-02-13 07:01:00,288,3739,mobile,Electronics,US,Manual_Keyed
8018,2024-02-13 07:11:00,33,3002,web,Digital Goods,AU,Contactless
8019,2024-02-13 07:20:00,343,5550,mobile,Fashion,UK,Manual_Keyed
8020,2024-02-13 07:25:00,150,6997,web,Fashion,US,Contactless
8021,2024-02-13 07:25:00,81,7077,mobile,Digital Goods,UK,Manual_Keyed
8022,2024-02-13 07:26:00,63,7077,mobile,Digital Goods,AU,Manual_Keyed
8023,2024-02-13 07:26:00,63,7077,mobile,Digital Goods,AU,Manual_Keyed
8024,2024-02-13 07:27:00,72,7077,mobile,Digital Goods,CA,Manual_Keyed
8025,2024-02-13 07:28:00,80,7077,mobile,Digital Goods,UK,Manual_Keyed
8026,2024-02-13 07:28:00,51,7162,mobile,Digital Goods,DE,Manual_Keyed
8027,2024-02-13 07:29:00,62,7162,mobile,Digital Goods,UK,Manual_Keyed
8028,2024-02-13 07:29:00,77,7162,mobile,Digital Goods,AU,Manual_Keyed
8029,2024-02-13 07:43:00,18,5383,web,Digital Goods,US,Manual_Keyed
8030,2024-02-13 07:52:00,423,7726,mobile,Grocery,UK,Manual_Keyed
8031,2024-02-13 08:00:00,263,3389,mobile,Electronics,US,Chip
8032,2024-02-13 08:02:00,215,6241,web,Electronics,US,Contactless
8033,2024-02-13 08:06:00,216,3077,mobile,Travel,AU,Manual_Keyed
8034,2024-02-13 08:14:00,210,2285,web,Digital Goods,DE,Manual_Keyed
8035,2024-02-13 08:15:00,63,2672,mobile,Digital Goods,DE,Manual_Keyed
8036,2024-02-13 08:16:00,61,2672,mobile,Digital Goods,AU,Manual_Keyed
8037,2024-02-13 08:16:00,86,2672,mobile,Digital Goods,CA,Manual_Keyed
8038,2024-02-13 08:17:00,52,2672,mobile,Digital Goods,DE,Manual_Keyed
8039,2024-02-13 08:18:00,67,6227,mobile,Digital Goods,CA,Manual_Keyed
8040,2024-02-13 08:18:00,82,6227,mobile,Digital Goods,UK,Manual_Keyed
8041,2024-02-13 08:19:00,71,6227,mobile,Digital Goods,AU,Manual_Keyed
8042,2024-02-13 08:20:00,76,6227,mobile,Digital Goods,CA,Manual_Keyed
8043,2024-02-13 08:20:00,57,6227,mobile,Digital Goods,CA,Manual_Keyed
8044,2024-02-13 08:21:00,82,5467,mobile,Digital Goods,UK,Manual_Keyed
8045,2024-02-13 08:21:00,71,5467,mobile,Digital Goods,DE,Manual_Keyed
8046,2024-02-13 08:22:00,67,5467,mobile,Digital Goods,CA,Manual_Keyed
8047,2024-02-13 08:23:00,77,5467,mobile,Digital Goods,UK,Manual_Keyed
8048,2024-02-13 08:24:00,82,5467,mobile,Digital Goods,DE,Manual_Keyed
8049,2024-02-13 08:24:00,74,5467,mobile,Digital Goods,DE,Manual_Keyed
8050,2024-02-13 08:32:00,12,2201,mobile,Grocery,CA,Contactless
8051,2024-02-13 08:39:00,183,3971,mobile,Digital Goods,US,Chip
8052,2024-02-13 08:49:00,73,1878,mobile,Travel,US,Chip
8053,2024-02-13 09:01:00,152,2101,tablet,Fashion,AU,Chip
8054,2024-02-13 09:02:00,62,4039,mobile,Digital Goods,AU,Manual_Keyed
8055,2024-02-13 09:02:00,57,4039,mobile,Digital Goods,UK,Manual_Keyed
8056,2024-02-13 09:02:00,87,4039,mobile,Digital Goods,DE,Manual_Keyed
8057,2024-02-13 09:03:00,73,4039,mobile,Digital Goods,DE,Manual_Keyed
8058,2024-02-13 09:04:00,50,4039,mobile,Digital Goods,CA,Manual_Keyed
8059,2024-02-13 09:04:00,81,4039,mobile,Digital Goods,DE,Manual_Keyed
8060,2024-02-13 09:05:00,59,4669,mobile,Digital Goods,CA,Manual_Keyed
8061,2024-02-13 09:05:00,63,4669,mobile,Digital Goods,CA,Manual_Keyed
