transaction_id,transaction_time,amount,is_fraud,user_id,device_type,merchant_category,ip_country,entry_mode
1,01-01-2024 00:02,94,0,2335,web,Travel,US,Contactless
2,01-01-2024 00:11,203,0,4666,web,Digital Goods,US,Chip
3,01-01-2024 00:24,362,0,7663,mobile,Fashion,US,Chip
4,01-01-2024 00:36,472,0,6295,web,Travel,UK,Contactless
5,01-01-2024 00:45,127,0,1627,mobile,Travel,US,Contactless
6,01-01-2024 00:48,186,0,3627,mobile,Fashion,CA,Chip
7,01-01-2024 00:57,414,0,3124,web,Travel,CA,Chip
8,01-01-2024 01:12,422,0,7220,tablet,Fashion,US,Chip
9,01-01-2024 01:20,37,0,3237,web,Digital Goods,CA,Contactless
10,01-01-2024 01:27,203,0,1992,mobile,Fashion,US,Chip
11,01-01-2024 01:37,424,0,3491,web,Fashion,US,Contactless
12,01-01-2024 01:48,342,0,2920,mobile,Travel,US,Contactless
13,01-01-2024 01:53,345,0,1170,mobile,Grocery,UK,Contactless
14,01-01-2024 01:57,444,0,1664,mobile,Electronics,US,Contactless
15,01-01-2024 02:03,494,0,2048,tablet,Travel,US,Contactless
16,01-01-2024 02:15,273,0,5096,web,Electronics,DE,Chip
17,01-01-2024 02:28,77,0,7439,tablet,Grocery,US,Contactless
18,01-01-2024 02:32,326,0,4258,mobile,Electronics,CA,Chip
19,01-01-2024 02:34,326,0,2597,web,Digital Goods,UK,Chip
20,01-01-2024 02:42,169,0,4734,web,Fashion,AU,Contactless
21,01-01-2024 02:48,10,0,3598,web,Travel,DE,Contactless
22,01-01-2024 03:01,442,0,4859,tablet,Grocery,UK,Contactless
23,01-01-2024 03:16,464,0,7627,mobile,Travel,US,Contactless
24,01-01-2024 03:20,337,0,2121,mobile,Grocery,UK,Chip
25,01-01-2024 03:28,476,0,2234,mobile,Electronics,US,Chip
26,01-01-2024 03:32,106,0,5104,web,Travel,US,Chip
27,01-01-2024 03:43,228,0,5033,mobile,Grocery,CA,Manual_Keyed
28,01-01-2024 03:57,238,0,3509,mobile,Digital Goods,DE,Chip
29,01-01-2024 04:10,2856,1,2038,mobile,Travel,US,Manual_Keyed
30,01-01-2024 04:24,387,0,4785,mobile,Fashion,US,Contactless
31,01-01-2024 04:36,1884,1,2481,mobile,Travel,US,Manual_Keyed
32,01-01-2024 04:46,71,0,1388,mobile,Grocery,US,Contactless
33,01-01-2024 04:50,148,0,1486,mobile,Travel,DE,Contactless
34,01-01-2024 04:56,223,0,4630,web,Grocery,US,Chip
35,01-01-2024 05:10,172,0,5800,mobile,Fashion,UK,Contactless
36,01-01-2024 05:23,192,0,4274,web,Travel,UK,Chip
37,01-01-2024 05:26,333,0,3605,mobile,Electronics,AU,Manual_Keyed
38,01-01-2024 05:39,459,0,4119,mobile,Digital Goods,US,Chip
39,01-01-2024 05:43,255,0,5450,mobile,Fashion,CA,Manual_Keyed
40,01-01-2024 05:47,1804,1,4877,mobile,Travel,AU,Manual_Keyed
41,01-01-2024 05:56,19,0,2452,mobile,Travel,AU,Chip
42,01-01-2024 05:58,491,0,5526,tablet,Fashion,DE,Chip
43,01-01-2024 06:07,448,0,6906,mobile,Fashion,AU,Chip
44,01-01-2024 06:18,47,0,3167,web,Digital Goods,US,Contactless
45,01-01-2024 06:25,169,0,5855,mobile,Travel,US,Chip
46,01-01-2024 06:29,461,0,5144,tablet,Fashion,US,Chip
47,01-01-2024 06:43,456,0,7644,web,Electronics,CA,Chip
48,01-01-2024 06:49,203,0,3931,tablet,Grocery,CA,Contactless
49,01-01-2024 07:01,393,0,1270,mobile,Fashion,AU,Contactless
50,01-01-2024 07:06,47,0,1913,web,Electronics,US,Chip
51,01-01-2024 07:10,476,0,6916,mobile,Electronics,UK,Contactless
52,01-01-2024 07:13,450,0,2715,mobile,Electronics,US,Chip
53,01-01-2024 07:23,466,0,7667,mobile,Digital Goods,AU,Contactless
54,01-01-2024 07:36,75,0,3488,mobile,Electronics,US,Chip
55,01-01-2024 07:46,1727,1,5438,web,Travel,CA,Manual_Keyed
56,01-01-2024 07:58,287,0,5369,mobile,Travel,CA,Chip
57,01-01-2024 08:05,163,0,2739,mobile,Digital Goods,DE,Chip
58,01-01-2024 08:09,406,0,6102,mobile,Electronics,UK,Chip
59,01-01-2024 08:14,331,0,5218,mobile,Travel,AU,Chip
60,01-01-2024 08:20,15,0,5722,mobile,Electronics,UK,Contactless
61,01-01-2024 08:35,409,0,3173,tablet,Fashion,UK,Contactless
62,01-01-2024 08:37,127,0,2184,mobile,Digital Goods,CA,Contactless
63,01-01-2024 08:49,236,0,7027,mobile,Travel,US,Manual_Keyed
64,01-01-2024 08:54,218,0,1537,mobile,Travel,US,Chip
65,01-01-2024 09:00,73,0,1062,web,Digital Goods,AU,Contactless
66,01-01-2024 09:14,101,0,6682,mobile,Travel,DE,Manual_Keyed
67,01-01-2024 09:28,449,0,3979,mobile,Digital Goods,UK,Contactless
68,01-01-2024 09:36,85,0,6550,mobile,Fashion,US,Chip
69,01-01-2024 09:39,86,0,6530,web,Electronics,DE,Chip
70,01-01-2024 09:51,402,0,7275,mobile,Digital Goods,UK,Contactless
71,01-01-2024 09:53,271,0,2274,mobile,Travel,CA,Contactless
72,01-01-2024 09:59,205,0,4993,tablet,Electronics,DE,Contactless
73,01-01-2024 10:11,333,0,4070,mobile,Electronics,CA,Contactless
74,01-01-2024 10:23,66,0,4251,web,Fashion,DE,Contactless
75,01-01-2024 10:37,96,0,2826,mobile,Grocery,US,Chip
76,01-01-2024 10:39,421,0,1357,mobile,Grocery,CA,Contactless
77,01-01-2024 10:45,158,0,2045,mobile,Electronics,US,Chip
78,01-01-2024 10:56,197,0,2130,web,Digital Goods,US,Contactless
79,01-01-2024 11:09,2603,1,4932,web,Travel,US,Manual_Keyed
80,01-01-2024 11:18,22,0,3346,web,Digital Goods,US,Contactless
81,01-01-2024 11:26,188,0,4873,web,Grocery,US,Chip
82,01-01-2024 11:36,477,0,2944,mobile,Fashion,US,Chip
83,01-01-2024 11:39,973,1,3082,web,Travel,US,Manual_Keyed
84,01-01-2024 11:48,37,0,3401,mobile,Grocery,US,Chip
85,01-01-2024 11:50,51,0,5927,web,Fashion,US,Chip
86,01-01-2024 12:03,172,0,2795,web,Travel,AU,Contactless
87,01-01-2024 12:15,343,0,3370,mobile,Fashion,US,Chip
88,01-01-2024 12:22,476,0,4670,mobile,Travel,AU,Contactless
89,01-01-2024 12:25,18,0,6158,mobile,Electronics,CA,Manual_Keyed
90,01-01-2024 12:35,56,0,1237,mobile,Fashion,US,Chip
91,01-01-2024 12:43,74,0,4547,web,Grocery,US,Chip
92,01-01-2024 12:48,449,0,6821,web,Electronics,US,Manual_Keyed
93,01-01-2024 13:01,204,0,6973,tablet,Digital Goods,AU,Contactless
94,01-01-2024 13:15,32,0,5066,tablet,Travel,US,Chip
95,01-01-2024 13:29,290,0,7017,web,Fashion,US,Chip
96,01-01-2024 13:40,35,0,3040,mobile,Travel,UK,Chip
97,01-01-2024 13:55,326,0,6753,mobile,Digital Goods,US,Contactless
98,01-01-2024 14:07,213,0,6880,mobile,Grocery,US,Manual_Keyed
99,01-01-2024 14:21,222,0,1055,web,Fashion,CA,Chip
100,01-01-2024 14:33,425,0,2399,mobile,Fashion,US,Chip
101,01-01-2024 14:47,323,0,4174,mobile,Digital Goods,US,Chip
102,01-01-2024 14:57,338,0,5762,web,Travel,CA,Contactless
103,01-01-2024 15:07,375,0,6027,tablet,Grocery,US,Manual_Keyed
104,01-01-2024 15:11,355,0,1976,mobile,Digital Goods,US,Chip
105,01-01-2024 15:25,184,0,1244,mobile,Electronics,US,Contactless
106,01-01-2024 15:34,2985,1,1494,web,Travel,US,Manual_Keyed
107,01-01-2024 15:43,151,0,2529,mobile,Grocery,CA,Contactless
108,01-01-2024 15:52,54,0,7040,mobile,Fashion,US,Chip
109,01-01-2024 15:54,114,0,7445,web,Fashion,UK,Manual_Keyed
110,01-01-2024 16:01,694,1,6504,mobile,Travel,US,Manual_Keyed
111,01-01-2024 16:13,287,0,5761,tablet,Digital Goods,AU,Chip
112,01-01-2024 16:15,93,0,7540,mobile,Fashion,US,Contactless
113,01-01-2024 16:24,51,0,3864,mobile,Electronics,AU,Chip
114,01-01-2024 16:36,109,0,3711,web,Travel,US,Contactless
115,01-01-2024 16:47,28,0,6814,mobile,Travel,AU,Contactless
116,01-01-2024 17:02,297,0,6363,web,Electronics,US,Chip
117,01-01-2024 17:09,2536,1,3437,mobile,Travel,CA,Manual_Keyed
118,01-01-2024 17:14,12,0,2846,web,Fashion,CA,Chip
119,01-01-2024 17:22,408,0,1941,mobile,Digital Goods,US,Chip
120,01-01-2024 17:35,79,0,4141,mobile,Fashion,US,Chip
121,01-01-2024 17:47,154,0,6849,mobile,Digital Goods,DE,Contactless
122,01-01-2024 17:54,384,0,4843,web,Electronics,US,Chip
123,01-01-2024 17:56,262,0,2188,mobile,Travel,US,Chip
124,01-01-2024 17:58,268,0,4177,tablet,Fashion,US,Chip
125,01-01-2024 18:09,391,0,4421,mobile,Electronics,US,Chip
126,01-01-2024 18:13,136,0,1253,tablet,Digital Goods,US,Contactless
127,01-01-2024 18:21,288,0,3109,web,Grocery,UK,Chip
128,01-01-2024 18:32,377,0,7814,web,Grocery,CA,Chip
129,01-01-2024 18:44,70,0,4795,mobile,Grocery,DE,Contactless
130,01-01-2024 18:50,333,0,1993,mobile,Fashion,UK,Chip
131,01-01-2024 19:01,254,0,2287,web,Electronics,US,Manual_Keyed
132,01-01-2024 19:10,246,0,5356,mobile,Electronics,US,Contactless
133,01-01-2024 19:12,394,0,1854,web,Grocery,DE,Chip
134,01-01-2024 19:21,272,0,2588,web,Fashion,AU,Contactless
135,01-01-2024 19:36,43,0,5810,tablet,Travel,UK,Chip
136,01-01-2024 19:39,350,0,2533,mobile,Digital Goods,CA,Contactless
137,01-01-2024 19:51,273,0,1771,web,Travel,US,Contactless
138,01-01-2024 20:00,273,0,2164,mobile,Grocery,AU,Chip
139,01-01-2024 20:07,333,0,1726,mobile,Grocery,US,Manual_Keyed
140,01-01-2024 20:10,211,0,4087,mobile,Fashion,US,Chip
141,01-01-2024 20:22,356,0,3652,mobile,Travel,DE,Chip
142,01-01-2024 20:36,170,0,6265,mobile,Grocery,UK,Chip
143,01-01-2024 20:39,254,0,3150,mobile,Grocery,DE,Chip
144,01-01-2024 20:45,188,0,7631,mobile,Electronics,UK,Chip
145,01-01-2024 20:53,43,0,2771,web,Digital Goods,UK,Contactless
146,01-01-2024 21:00,453,0,6167,mobile,Electronics,UK,Contactless
147,01-01-2024 21:04,363,0,7455,web,Electronics,US,Contactless
148,01-01-2024 21:08,170,0,1081,mobile,Digital Goods,AU,Contactless
149,01-01-2024 21:12,254,0,6836,mobile,Travel,US,Contactless
150,01-01-2024 21:17,297,0,6650,mobile,Fashion,UK,Contactless
151,01-01-2024 21:27,247,0,4130,tablet,Grocery,AU,Chip
152,01-01-2024 21:30,231,0,2143,web,Fashion,CA,Chip
153,01-01-2024 21:39,419,0,3148,mobile,Electronics,UK,Contactless
154,01-01-2024 21:50,1322,1,6827,mobile,Travel,US,Manual_Keyed
155,01-01-2024 22:03,92,0,2380,mobile,Electronics,AU,Contactless
156,01-01-2024 22:09,260,0,2622,web,Digital Goods,CA,Chip
157,01-01-2024 22:16,429,0,4784,tablet,Fashion,AU,Contactless
