Day_Name,Hour_of_Day,Issuer_Bank,Auth_Rate_Pct
Friday,0,Bank of America,83.9
Friday,0,Capital One,94.0
Friday,0,Chase,88.0
Friday,0,Citi,76.9
Friday,0,Wells Fargo,89.6
Friday,1,Bank of America,90.6
Friday,1,Capital One,85.7
Friday,1,Chase,87.9
Friday,1,Citi,89.2
Friday,1,Wells Fargo,87.5
Friday,2,Bank of America,90.3
Friday,2,Capital One,92.9
Friday,2,Chase,82.3
Friday,2,Citi,82.9
Friday,2,Wells Fargo,82.8
Friday,3,Bank of America,83.6
Friday,3,Capital One,84.2
Friday,3,Chase,84.3
Friday,3,Citi,85.1
Friday,3,Wells Fargo,72.6
Friday,4,Bank of America,91.4
Friday,4,Capital One,77.1
Friday,4,Chase,89.2
Friday,4,Citi,79.5
Friday,4,Wells Fargo,88.9
Friday,5,Bank of America,90.6
Friday,5,Capital One,92.6
Friday,5,Chase,89.4
Friday,5,Citi,86.8
Friday,5,Wells Fargo,86.0
Friday,6,Bank of America,82.6
Friday,6,Capital One,83.7
Friday,6,Chase,88.4
Friday,6,Citi,89.6
Friday,6,Wells Fargo,85.7
Friday,7,Bank of America,79.6
Friday,7,Capital One,93.3
Friday,7,Chase,89.0
Friday,7,Citi,82.4
Friday,7,Wells Fargo,83.6
Friday,8,Bank of America,85.0
Friday,8,Capital One,91.3
Friday,8,Chase,83.7
Friday,8,Citi,90.0
Friday,8,Wells Fargo,91.0
Friday,9,Bank of America,92.9
Friday,9,Capital One,94.6
Friday,9,Chase,92.9
Friday,9,Citi,78.8
Friday,9,Wells Fargo,95.8
Friday,10,Bank of America,90.2
Friday,10,Capital One,85.7
Friday,10,Chase,88.8
Friday,10,Citi,82.5
Friday,10,Wells Fargo,75.5
Friday,11,Bank of America,87.0
Friday,11,Capital One,88.5
Friday,11,Chase,91.1
Friday,11,Citi,84.8
Friday,11,Wells Fargo,81.2
Friday,12,Bank of America,85.2
Friday,12,Capital One,80.8
Friday,12,Chase,89.6
Friday,12,Citi,81.8
Friday,12,Wells Fargo,91.8
Friday,13,Bank of America,82.7
Friday,13,Capital One,86.8
Friday,13,Chase,84.6
Friday,13,Citi,80.0
Friday,13,Wells Fargo,86.4
Friday,14,Bank of America,85.7
Friday,14,Capital One,85.7
Friday,14,Chase,89.0
Friday,14,Citi,88.0
Friday,14,Wells Fargo,78.9
Friday,15,Bank of America,89.1
Friday,15,Capital One,85.7
Friday,15,Chase,89.7
Friday,15,Citi,86.7
Friday,15,Wells Fargo,88.9
Friday,16,Bank of America,87.3
Friday,16,Capital One,78.7
Friday,16,Chase,85.9
Friday,16,Citi,92.3
Friday,16,Wells Fargo,76.9
Friday,17,Bank of America,86.4
Friday,17,Capital One,91.3
Friday,17,Chase,91.8
Friday,17,Citi,89.8
Friday,17,Wells Fargo,89.6
Friday,18,Bank of America,84.3
Friday,18,Capital One,83.7
Friday,18,Chase,89.0
Friday,18,Citi,90.4
Friday,18,Wells Fargo,86.0
Friday,19,Bank of America,92.0
Friday,19,Capital One,82.4
Friday,19,Chase,89.4
Friday,19,Citi,78.7
Friday,19,Wells Fargo,80.6
Friday,20,Bank of America,86.4
Friday,20,Capital One,94.2
Friday,20,Chase,89.7
Friday,20,Citi,84.8
Friday,20,Wells Fargo,89.5
Friday,21,Bank of America,90.3
Friday,21,Capital One,77.9
Friday,21,Chase,89.0
Friday,21,Citi,82.9
Friday,21,Wells Fargo,90.9
Friday,22,Bank of America,90.3
Friday,22,Capital One,93.2
Friday,22,Chase,83.8
Friday,22,Citi,91.7
Friday,22,Wells Fargo,83.1
Friday,23,Bank of America,93.4
Friday,23,Capital One,90.4
Friday,23,Chase,94.1
Friday,23,Citi,91.7
Friday,23,Wells Fargo,86.6
Monday,0,Bank of America,92.1
Monday,0,Capital One,88.1
Monday,0,Chase,85.2
Monday,0,Citi,84.1
Monday,0,Wells Fargo,82.9
Monday,1,Bank of America,90.1
Monday,1,Capital One,81.0
Monday,1,Chase,84.2
Monday,1,Citi,78.4
Monday,1,Wells Fargo,87.2
Monday,2,Bank of America,78.3
Monday,2,Capital One,84.3
Monday,2,Chase,89.9
Monday,2,Citi,83.7
Monday,2,Wells Fargo,87.7
Monday,3,Bank of America,87.5
Monday,3,Capital One,88.2
Monday,3,Chase,90.3
Monday,3,Citi,84.8
Monday,3,Wells Fargo,87.5
Monday,4,Bank of America,86.9
Monday,4,Capital One,88.1
Monday,4,Chase,87.1
Monday,4,Citi,88.5
Monday,4,Wells Fargo,84.8
Monday,5,Bank of America,85.7
Monday,5,Capital One,82.5
Monday,5,Chase,87.2
Monday,5,Citi,92.5
Monday,5,Wells Fargo,88.2
Monday,6,Bank of America,94.5
Monday,6,Capital One,86.8
Monday,6,Chase,90.1
Monday,6,Citi,86.1
Monday,6,Wells Fargo,86.0
Monday,7,Bank of America,91.2
Monday,7,Capital One,93.5
Monday,7,Chase,89.1
Monday,7,Citi,93.1
Monday,7,Wells Fargo,80.3
Monday,8,Bank of America,93.9
Monday,8,Capital One,83.7
Monday,8,Chase,88.5
Monday,8,Citi,70.6
Monday,8,Wells Fargo,81.1
Monday,9,Bank of America,79.7
Monday,9,Capital One,86.2
Monday,9,Chase,88.6
Monday,9,Citi,82.4
Monday,9,Wells Fargo,82.0
Monday,10,Bank of America,84.6
Monday,10,Capital One,87.5
Monday,10,Chase,85.6
Monday,10,Citi,86.7
Monday,10,Wells Fargo,84.9
Monday,11,Bank of America,85.7
Monday,11,Capital One,94.6
Monday,11,Chase,81.6
Monday,11,Citi,82.9
Monday,11,Wells Fargo,80.0
Monday,12,Bank of America,85.2
Monday,12,Capital One,94.4
Monday,12,Chase,89.9
Monday,12,Citi,88.0
Monday,12,Wells Fargo,87.1
Monday,13,Bank of America,93.3
Monday,13,Capital One,79.5
Monday,13,Chase,89.2
Monday,13,Citi,81.4
Monday,13,Wells Fargo,92.4
Monday,14,Bank of America,93.1
Monday,14,Capital One,88.9
Monday,14,Chase,83.0
Monday,14,Citi,87.9
Monday,14,Wells Fargo,87.0
Monday,15,Bank of America,90.2
Monday,15,Capital One,86.5
Monday,15,Chase,91.7
Monday,15,Citi,89.7
Monday,15,Wells Fargo,80.0
Monday,16,Bank of America,92.9
Monday,16,Capital One,87.8
Monday,16,Chase,84.6
Monday,16,Citi,95.7
Monday,16,Wells Fargo,87.3
Monday,17,Bank of America,83.3
Monday,17,Capital One,81.5
Monday,17,Chase,85.6
Monday,17,Citi,86.0
Monday,17,Wells Fargo,87.3
Monday,18,Bank of America,95.2
Monday,18,Capital One,87.8
Monday,18,Chase,86.5
Monday,18,Citi,91.1
Monday,18,Wells Fargo,82.3
Monday,19,Bank of America,91.4
Monday,19,Capital One,89.1
Monday,19,Chase,89.5
Monday,19,Citi,97.7
Monday,19,Wells Fargo,92.2
Monday,20,Bank of America,85.0
Monday,20,Capital One,90.9
Monday,20,Chase,81.9
Monday,20,Citi,94.3
Monday,20,Wells Fargo,93.1
Monday,21,Bank of America,87.1
Monday,21,Capital One,86.2
Monday,21,Chase,83.3
Monday,21,Citi,85.1
Monday,21,Wells Fargo,92.6
Monday,22,Bank of America,83.6
Monday,22,Capital One,80.8
Monday,22,Chase,88.8
Monday,22,Citi,78.8
Monday,22,Wells Fargo,90.0
Monday,23,Bank of America,90.0
Monday,23,Capital One,92.7
